"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-04-18 00:00:00,"2016-04-18 00:00:00",81.1,71.2,29.97,"East",101,7,7,72,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:00:00"
2016-04-18 00:05:00,"2016-04-18 00:05:00",81,71.1,29.96,"ENE",70,7,12,72,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:05:00"
2016-04-18 00:15:00,"2016-04-18 00:15:00",80.9,71.4,29.96,"East",82,10,11,73,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:15:00"
2016-04-18 00:20:00,"2016-04-18 00:20:00",80.7,71.6,29.96,"East",87,9,14,74,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:20:00"
2016-04-18 00:30:00,"2016-04-18 00:30:00",80.5,71.4,29.96,"East",100,6,6,74,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:30:00"
2016-04-18 00:35:00,"2016-04-18 00:35:00",80.4,71.7,29.96,"SSE",147,7,7,75,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:35:00"
2016-04-18 00:45:00,"2016-04-18 00:45:00",80.3,71.6,29.96,"ESE",112,8,10,75,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:45:00"
2016-04-18 00:50:00,"2016-04-18 00:50:00",80.2,71.9,29.96,"ESE",108,7,7,76,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 05:50:00"
2016-04-18 01:00:00,"2016-04-18 01:00:00",80,71.8,29.96,"ENE",73,7,7,76,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:00:00"
2016-04-18 01:05:00,"2016-04-18 01:05:00",79.9,72,29.95,"East",80,6,7,77,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:05:00"
2016-04-18 01:15:00,"2016-04-18 01:15:00",79.8,71.9,29.96,"SSE",148,5,6,77,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:15:00"
2016-04-18 01:25:00,"2016-04-18 01:25:00",79.6,71.8,29.95,"East",98,6,7,77,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:25:00"
2016-04-18 01:30:00,"2016-04-18 01:30:00",79.6,72.1,29.95,"East",99,6,6,78,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:30:00"
2016-04-18 01:40:00,"2016-04-18 01:40:00",79.5,72,29.96,"ESE",106,5,5,78,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:40:00"
2016-04-18 01:50:00,"2016-04-18 01:50:00",79.3,71.8,29.96,"East",97,5,5,78,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-18 06:50:00"
