Date,TS,TSEpochSec,WindSpeedMPH,WindDirectionDegrees
2012-12-22,2012-12-22 06:35:00,1356179700,20.0,42.0
2012-12-22,2012-12-22 06:40:00,1356180000,19.0,49.0
2012-12-22,2012-12-22 06:45:00,1356180300,19.0,46.5
2012-12-22,2012-12-22 06:50:00,1356180600,19.0,44.0
2012-12-22,2012-12-22 06:55:00,1356180900,20.0,46.0
2012-12-22,2012-12-22 07:00:00,1356181200,20.0,42.0
2012-12-22,2012-12-22 07:05:00,1356181500,19.5,40.0
2012-12-22,2012-12-22 07:10:00,1356181800,19.0,38.0
2012-12-22,2012-12-22 07:15:00,1356182100,19.0,41.0
2012-12-22,2012-12-22 07:20:00,1356182400,19.0,42.0
2012-12-22,2012-12-22 07:25:00,1356182700,19.5,45.5
2012-12-22,2012-12-22 07:30:00,1356183000,20.0,49.0
2012-12-22,2012-12-22 07:35:00,1356183300,20.0,45.0
2012-12-22,2012-12-22 07:40:00,1356183600,19.0,43.0
2012-12-22,2012-12-22 07:45:00,1356183900,19.0,49.5
2012-12-22,2012-12-22 07:50:00,1356184200,19.0,56.0
2012-12-22,2012-12-22 07:55:00,1356184500,19.0,42.0
2012-12-22,2012-12-22 08:00:00,1356184800,19.0,40.0
2012-12-22,2012-12-22 08:05:00,1356185100,19.0,38.0
2012-12-22,2012-12-22 08:10:00,1356185400,19.0,52.0
2012-12-22,2012-12-22 08:15:00,1356185700,18.5,51.5
2012-12-22,2012-12-22 08:20:00,1356186000,18.0,51.0
2012-12-22,2012-12-22 08:25:00,1356186300,19.0,41.0
2012-12-22,2012-12-22 08:30:00,1356186600,19.0,40.5
2012-12-22,2012-12-22 08:35:00,1356186900,19.0,40.0
2012-12-22,2012-12-22 08:40:00,1356187200,20.0,44.0
2012-12-22,2012-12-22 08:45:00,1356187500,19.0,45.5
2012-12-22,2012-12-22 08:50:00,1356187800,18.0,47.0
2012-12-22,2012-12-22 08:55:00,1356188100,19.0,42.0
2012-12-22,2012-12-22 09:00:00,1356188400,18.0,37.0
2012-12-22,2012-12-22 09:05:00,1356188700,17.0,49.0
2012-12-22,2012-12-22 09:10:00,1356189000,17.5,52.0
2012-12-22,2012-12-22 09:15:00,1356189300,18.0,55.0
2012-12-22,2012-12-22 09:20:00,1356189600,18.0,49.5
2012-12-22,2012-12-22 09:25:00,1356189900,18.0,44.0
2012-12-22,2012-12-22 09:30:00,1356190200,19.0,49.0
2012-12-22,2012-12-22 09:35:00,1356190500,18.0,41.0
2012-12-22,2012-12-22 09:40:00,1356190800,18.0,49.0
2012-12-22,2012-12-22 09:45:00,1356191100,18.0,57.0
2012-12-22,2012-12-22 09:50:00,1356191400,18.0,50.0
2012-12-22,2012-12-22 09:55:00,1356191700,17.0,51.0
2012-12-22,2012-12-22 10:00:00,1356192000,17.0,54.0
2012-12-22,2012-12-22 10:05:00,1356192300,17.0,57.0
2012-12-22,2012-12-22 10:10:00,1356192600,17.0,55.0
2012-12-22,2012-12-22 10:15:00,1356192900,17.0,53.0
2012-12-22,2012-12-22 10:20:00,1356193200,18.0,61.0
2012-12-22,2012-12-22 10:25:00,1356193500,18.0,47.5
2012-12-22,2012-12-22 10:30:00,1356193800,18.0,34.0
2012-12-22,2012-12-22 10:35:00,1356194100,18.0,68.0
2012-12-22,2012-12-22 10:40:00,1356194400,18.0,49.0
2012-12-22,2012-12-22 10:45:00,1356194700,18.0,51.0
2012-12-22,2012-12-22 10:50:00,1356195000,17.5,52.5
2012-12-22,2012-12-22 10:55:00,1356195300,17.0,54.0
2012-12-22,2012-12-22 11:00:00,1356195600,17.5,50.0
2012-12-22,2012-12-22 11:05:00,1356195900,18.0,46.0
2012-12-22,2012-12-22 11:10:00,1356196200,18.0,44.0
2012-12-22,2012-12-22 11:15:00,1356196500,18.0,42.0
2012-12-22,2012-12-22 11:20:00,1356196800,17.0,44.0
2012-12-22,2012-12-22 11:25:00,1356197100,16.0,46.0
2012-12-22,2012-12-22 11:30:00,1356197400,16.5,51.5
2012-12-22,2012-12-22 11:35:00,1356197700,17.0,57.0
2012-12-22,2012-12-22 11:40:00,1356198000,17.0,51.5
2012-12-22,2012-12-22 11:45:00,1356198300,17.0,46.0
2012-12-22,2012-12-22 11:50:00,1356198600,17.0,53.0
2012-12-22,2012-12-22 11:55:00,1356198900,16.5,43.0
2012-12-22,2012-12-22 12:00:00,1356199200,16.0,33.0
2012-12-22,2012-12-22 12:05:00,1356199500,16.0,40.0
2012-12-22,2012-12-22 12:10:00,1356199800,18.0,59.0
2012-12-22,2012-12-22 12:15:00,1356200100,17.5,48.0
2012-12-22,2012-12-22 12:20:00,1356200400,17.0,37.0
2012-12-22,2012-12-22 12:25:00,1356200700,17.0,38.5
2012-12-22,2012-12-22 12:30:00,1356201000,17.0,40.0
2012-12-22,2012-12-22 12:35:00,1356201300,17.5,41.0
2012-12-22,2012-12-22 12:40:00,1356201600,18.0,42.0
2012-12-22,2012-12-22 12:45:00,1356201900,18.0,50.0
2012-12-22,2012-12-22 12:50:00,1356202200,17.5,48.0
2012-12-22,2012-12-22 12:55:00,1356202500,17.0,46.0
2012-12-22,2012-12-22 13:00:00,1356202800,17.0,49.0
2012-12-22,2012-12-22 13:05:00,1356203100,16.0,53.0
2012-12-22,2012-12-22 13:10:00,1356203400,16.5,55.5
2012-12-22,2012-12-22 13:15:00,1356203700,17.0,58.0
2012-12-22,2012-12-22 13:20:00,1356204000,17.0,63.0
2012-12-22,2012-12-22 13:25:00,1356204300,17.0,59.0
2012-12-22,2012-12-22 13:30:00,1356204600,17.0,45.0
2012-12-22,2012-12-22 13:35:00,1356204900,18.0,55.0
2012-12-22,2012-12-22 13:40:00,1356205200,18.5,41.5
2012-12-22,2012-12-22 13:45:00,1356205500,19.0,28.0
2012-12-22,2012-12-22 13:50:00,1356205800,18.0,46.0
2012-12-22,2012-12-22 13:55:00,1356206100,18.0,46.0
2012-12-22,2012-12-22 14:00:00,1356206400,18.0,46.0
2012-12-22,2012-12-22 14:05:00,1356206700,19.0,65.0
2012-12-22,2012-12-22 14:10:00,1356207000,19.0,51.5
2012-12-22,2012-12-22 14:15:00,1356207300,19.0,38.0
2012-12-22,2012-12-22 14:20:00,1356207600,19.0,49.0
2012-12-22,2012-12-22 14:25:00,1356207900,19.0,43.5
2012-12-22,2012-12-22 14:30:00,1356208200,19.0,38.0
2012-12-22,2012-12-22 14:35:00,1356208500,18.0,45.0
2012-12-22,2012-12-22 14:40:00,1356208800,18.0,56.0
2012-12-22,2012-12-22 14:45:00,1356209100,18.0,54.5
2012-12-22,2012-12-22 14:50:00,1356209400,18.0,53.0
2012-12-22,2012-12-22 14:55:00,1356209700,18.0,52.0
2012-12-22,2012-12-22 15:00:00,1356210000,19.0,56.0
2012-12-22,2012-12-22 15:05:00,1356210300,19.0,57.0
2012-12-22,2012-12-22 15:10:00,1356210600,19.0,42.0
2012-12-22,2012-12-22 15:15:00,1356210900,19.0,46.5
2012-12-22,2012-12-22 15:20:00,1356211200,19.0,51.0
2012-12-22,2012-12-22 15:25:00,1356211500,19.0,46.0
2012-12-22,2012-12-22 15:30:00,1356211800,19.5,48.5
2012-12-22,2012-12-22 15:35:00,1356212100,20.0,51.0
2012-12-22,2012-12-22 15:40:00,1356212400,20.0,57.0
2012-12-22,2012-12-22 15:45:00,1356212700,19.0,44.0
2012-12-22,2012-12-22 15:50:00,1356213000,18.0,55.0
2012-12-22,2012-12-22 15:55:00,1356213300,19.0,47.0
2012-12-22,2012-12-22 16:00:00,1356213600,19.0,66.0
2012-12-22,2012-12-22 16:05:00,1356213900,19.0,54.0
2012-12-22,2012-12-22 16:10:00,1356214200,19.5,57.0
2012-12-22,2012-12-22 16:15:00,1356214500,20.0,60.0
2012-12-22,2012-12-22 16:20:00,1356214800,20.0,42.0
2012-12-22,2012-12-22 16:25:00,1356215100,19.0,45.5
2012-12-22,2012-12-22 16:30:00,1356215400,18.0,49.0
2012-12-22,2012-12-22 16:35:00,1356215700,18.0,55.0
2012-12-22,2012-12-22 16:40:00,1356216000,18.0,56.0
2012-12-22,2012-12-22 16:45:00,1356216300,18.5,59.5
2012-12-22,2012-12-22 16:50:00,1356216600,19.0,63.0
2012-12-22,2012-12-22 16:55:00,1356216900,19.0,61.0
2012-12-22,2012-12-22 17:00:00,1356217200,20.0,56.0
2012-12-22,2012-12-22 17:05:00,1356217500,20.5,53.5
2012-12-22,2012-12-22 17:10:00,1356217800,21.0,51.0
2012-12-22,2012-12-22 17:15:00,1356218100,20.0,65.0
2012-12-22,2012-12-22 17:20:00,1356218400,19.5,63.0
2012-12-15,2012-12-15 06:30:00,1355574600,3.0,153.5
2012-12-15,2012-12-15 06:35:00,1355574900,3.0,153.0
2012-12-15,2012-12-15 06:40:00,1355575200,3.0,154.0
2012-12-15,2012-12-15 06:45:00,1355575500,3.0,155.0
2012-12-15,2012-12-15 06:50:00,1355575800,3.0,157.0
2012-12-15,2012-12-15 06:55:00,1355576100,4.0,155.0
2012-12-15,2012-12-15 07:00:00,1355576400,4.0,156.5
2012-12-15,2012-12-15 07:05:00,1355576700,4.0,158.0
2012-12-15,2012-12-15 07:10:00,1355577000,4.0,157.0
2012-12-15,2012-12-15 07:15:00,1355577300,3.5,157.0
2012-12-15,2012-12-15 07:20:00,1355577600,3.0,157.0
2012-12-15,2012-12-15 07:25:00,1355577900,3.0,157.0
2012-12-15,2012-12-15 07:30:00,1355578200,3.0,157.0
2012-12-15,2012-12-15 07:35:00,1355578500,3.0,157.0
2012-12-15,2012-12-15 07:40:00,1355578800,3.5,157.0
2012-12-15,2012-12-15 07:45:00,1355579100,4.0,157.00000000745058
2012-12-15,2012-12-15 07:50:00,1355579400,4.0,145.50000000745058
2012-12-15,2012-12-15 07:55:00,1355579700,4.0,134.0
2012-12-15,2012-12-15 08:00:00,1355580000,4.5,135.0
2012-12-15,2012-12-15 08:05:00,1355580300,5.0,136.0
2012-12-15,2012-12-15 08:10:00,1355580600,4.5,136.0
2012-12-15,2012-12-15 08:15:00,1355580900,4.0,136.0
2012-12-15,2012-12-15 08:20:00,1355581200,4.0,110.0
2012-12-15,2012-12-15 08:25:00,1355581500,5.0,115.5
2012-12-15,2012-12-15 08:30:00,1355581800,6.0,121.0
2012-12-15,2012-12-15 08:35:00,1355582100,5.0,128.0
2012-12-15,2012-12-15 08:40:00,1355582400,5.0,130.0
2012-12-15,2012-12-15 08:45:00,1355582700,4.0,132.0
2012-12-15,2012-12-15 08:50:00,1355583000,5.0,131.0
2012-12-15,2012-12-15 08:55:00,1355583300,6.0,130.0
2012-12-15,2012-12-15 09:00:00,1355583600,7.0,135.0
2012-12-15,2012-12-15 09:05:00,1355583900,7.0,141.0
2012-12-15,2012-12-15 09:10:00,1355584200,6.5,139.0
2012-12-15,2012-12-15 09:15:00,1355584500,6.0,137.0
2012-12-15,2012-12-15 09:20:00,1355584800,5.5,106.0
2012-12-15,2012-12-15 09:25:00,1355585100,5.0,75.0
2012-12-15,2012-12-15 09:30:00,1355585400,6.0,128.0
2012-12-15,2012-12-15 09:35:00,1355585700,7.0,119.0
2012-12-15,2012-12-15 09:40:00,1355586000,7.0,75.0
2012-12-15,2012-12-15 09:45:00,1355586300,9.0,101.5
2012-12-15,2012-12-15 09:50:00,1355586600,11.0,128.0
2012-12-15,2012-12-15 09:55:00,1355586900,10.0,130.0
2012-12-15,2012-12-15 10:00:00,1355587200,7.0,127.0
2012-12-15,2012-12-15 10:05:00,1355587500,7.0,116.0
2012-12-15,2012-12-15 10:10:00,1355587800,6.5,140.5
2012-12-15,2012-12-15 10:15:00,1355588100,6.0,165.0
2012-12-15,2012-12-15 10:20:00,1355588400,6.0,109.0
2012-12-15,2012-12-15 10:25:00,1355588700,6.0,98.00000002980232
2012-12-15,2012-12-15 10:30:00,1355589000,5.0,140.0
2012-12-15,2012-12-15 10:35:00,1355589300,5.0,123.0
2012-12-15,2012-12-15 10:40:00,1355589600,5.0,106.0
2012-12-15,2012-12-15 10:45:00,1355589900,4.0,106.0
2012-12-15,2012-12-15 10:50:00,1355590200,3.0,107.0
2012-12-15,2012-12-15 10:55:00,1355590500,3.0,112.0
2012-12-15,2012-12-15 11:00:00,1355590800,3.0,83.5
2012-12-15,2012-12-15 11:05:00,1355591100,3.0,55.0
2012-12-15,2012-12-15 11:10:00,1355591400,5.5,41.5
2012-12-15,2012-12-15 11:15:00,1355591700,8.0,28.0
2012-12-15,2012-12-15 11:20:00,1355592000,9.0,33.0
2012-12-15,2012-12-15 11:25:00,1355592300,9.0,31.5
2012-12-15,2012-12-15 11:30:00,1355592600,9.0,30.0
2012-12-15,2012-12-15 11:35:00,1355592900,10.0,31.0
2012-12-15,2012-12-15 11:40:00,1355593200,10.0,34.5
2012-12-15,2012-12-15 11:45:00,1355593500,10.0,37.99999999254942
2012-12-15,2012-12-15 11:50:00,1355593800,10.5,27.49999999254942
2012-12-15,2012-12-15 11:55:00,1355594100,11.0,17.0
2012-12-15,2012-12-15 12:00:00,1355594400,11.0,19.0
2012-12-15,2012-12-15 12:05:00,1355594700,11.0,23.0
2012-12-15,2012-12-15 12:10:00,1355595000,11.0,27.0
2012-12-15,2012-12-15 12:15:00,1355595300,12.0,15.0
2012-12-15,2012-12-15 12:20:00,1355595600,13.0,5.0
2012-12-15,2012-12-15 12:25:00,1355595900,13.0,7.0
2012-12-15,2012-12-15 12:30:00,1355596200,13.0,9.0
2012-12-15,2012-12-15 12:35:00,1355596500,13.0,27.0
2012-12-15,2012-12-15 12:40:00,1355596800,13.0,24.0
2012-12-15,2012-12-15 12:45:00,1355597100,13.5,24.5
2012-12-15,2012-12-15 12:50:00,1355597400,14.0,25.0
