"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-12-31 00:02:00,"2016-12-31 00:02:00",71.5,69.1,30.08,"ESE",109,4,4,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:02:00"
2016-12-31 00:12:00,"2016-12-31 00:12:00",71.4,69,30.08,"ESE",112,4,4,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:12:00"
2016-12-31 00:17:00,"2016-12-31 00:17:00",71.4,69,30.08,"ESE",115,4,4,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:17:00"
2016-12-31 00:27:00,"2016-12-31 00:27:00",71.3,68.9,30.08,"East",94,4,4,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:27:00"
2016-12-31 00:32:00,"2016-12-31 00:32:00",71.2,68.4,30.08,"ESE",113,4,4,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:32:00"
2016-12-31 00:37:00,"2016-12-31 00:37:00",71.2,68.8,30.08,"ESE",109,4,4,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:37:00"
2016-12-31 00:42:00,"2016-12-31 00:42:00",71.2,68.4,30.07,"ESE",115,4,4,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:42:00"
2016-12-31 00:47:00,"2016-12-31 00:47:00",71.1,68.3,30.07,"ESE",116,4,4,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:47:00"
2016-12-31 00:57:00,"2016-12-31 00:57:00",71.1,68.7,30.07,"ESE",109,4,5,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 06:57:00"
2016-12-31 01:02:00,"2016-12-31 01:02:00",71,68.6,30.07,"East",94,3,5,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:02:00"
2016-12-31 01:12:00,"2016-12-31 01:12:00",70.9,68.5,30.07,"ESE",109,3,7,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:12:00"
2016-12-31 01:17:00,"2016-12-31 01:17:00",70.8,68.4,30.07,"ESE",111,3,3,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:17:00"
2016-12-31 01:27:00,"2016-12-31 01:27:00",70.8,68.4,30.07,"ESE",113,3,3,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:27:00"
2016-12-31 01:32:00,"2016-12-31 01:32:00",70.8,68.4,30.06,"East",100,3,3,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:32:00"
2016-12-31 01:37:00,"2016-12-31 01:37:00",70.7,68.3,30.06,"ESE",123,3,10,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:37:00"
2016-12-31 01:47:00,"2016-12-31 01:47:00",70.7,68.3,30.06,"East",101,4,5,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:47:00"
2016-12-31 01:52:00,"2016-12-31 01:52:00",70.8,68.4,30.06,"East",93,4,7,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 07:52:00"
2016-12-31 02:02:00,"2016-12-31 02:02:00",71.3,68.9,30.06,"East",89,5,6,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:02:00"
2016-12-31 02:12:00,"2016-12-31 02:12:00",71.6,68.8,30.06,"East",92,5,6,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:12:00"
2016-12-31 02:22:00,"2016-12-31 02:22:00",71.8,69,30.05,"ESE",112,6,6,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:22:00"
2016-12-31 02:32:00,"2016-12-31 02:32:00",72,68.9,30.05,"ENE",75,7,10,90,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:32:00"
2016-12-31 02:42:00,"2016-12-31 02:42:00",72.3,69.2,30.05,"ESE",117,7,7,90,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:42:00"
2016-12-31 02:47:00,"2016-12-31 02:47:00",72.4,69,30.05,"SE",136,7,10,89,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:47:00"
2016-12-31 02:57:00,"2016-12-31 02:57:00",72.5,69.1,30.05,"East",87,7,9,89,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 08:57:00"
2016-12-31 03:02:00,"2016-12-31 03:02:00",72.4,69,30.05,"East",91,7,9,89,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:02:00"
2016-12-31 03:12:00,"2016-12-31 03:12:00",72.3,68.9,30.05,"ESE",110,7,7,89,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:12:00"
2016-12-31 03:17:00,"2016-12-31 03:17:00",72.1,68.7,30.05,"ESE",118,6,6,89,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:17:00"
2016-12-31 03:22:00,"2016-12-31 03:22:00",72,68.6,30.05,"East",98,5,6,89,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:22:00"
2016-12-31 03:32:00,"2016-12-31 03:32:00",71.6,68.5,30.04,"East",98,4,5,90,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:32:00"
2016-12-31 03:37:00,"2016-12-31 03:37:00",71.5,68.4,30.04,"East",100,5,5,90,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:37:00"
2016-12-31 03:47:00,"2016-12-31 03:47:00",71.3,68.2,30.04,"East",100,5,6,90,0,NA,NA,0,0,"Wunderground v.1.15","2016-12-31 09:47:00"
