Purge Empty
Purging file ./dailyHistory/IYUCATNT2/2012/01/IYUCATNT2-2012-01-06.csv number of rows less than 90, actual 70
Purging file ./dailyHistory/IYUCATNT2/2012/01/IYUCATNT2-2012-01-26.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/02/IYUCATNT2-2012-02-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/03/IYUCATNT2-2012-03-30.csv number of rows less than 90, actual 42
Purging file ./dailyHistory/IYUCATNT2/2012/03/IYUCATNT2-2012-03-31.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-01.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-08.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-09.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-10.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-11.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-12.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-13.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-14.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-15.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-16.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-17.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-18.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-19.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-20.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-21.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-22.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-23.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-24.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-25.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-26.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-27.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-28.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-29.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/04/IYUCATNT2-2012-04-30.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-01.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-03.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-04.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-05.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-06.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-07.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-08.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-09.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-10.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-11.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-12.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-13.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-14.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-15.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-16.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-17.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-18.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-19.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-20.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-21.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-22.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-23.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/05/IYUCATNT2-2012-05-24.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/07/IYUCATNT2-2012-07-11.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/07/IYUCATNT2-2012-07-17.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-18.csv number of rows less than 90, actual 0
