"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-10-30 00:03:00,"2016-10-30 00:03:00",79.5,76.6,29.93,"NE",48,6,7,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 05:03:00"
2016-10-30 00:33:00,"2016-10-30 00:33:00",79.7,76.8,29.92,"NE",37,6,6,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 05:33:00"
2016-10-30 00:57:00,"2016-10-30 00:57:00",79.4,76.9,29.91,"NE",39,6,8,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 05:57:00"
2016-10-30 01:03:00,"2016-10-30 01:03:00",79.4,76.9,29.91,"NNE",28,7,8,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 06:03:00"
2016-10-30 01:03:00,"2016-10-30 01:03:00",79.2,76.3,29.89,"NNE",23,5,5,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 07:03:00"
2016-10-30 01:32:00,"2016-10-30 01:32:00",79.3,76.4,29.9,"NNE",31,7,7,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 06:32:00"
2016-10-30 01:32:00,"2016-10-30 01:32:00",79.2,76.3,29.89,"NNE",28,4,4,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 07:32:00"
2016-10-30 01:58:00,"2016-10-30 01:58:00",79.3,76.4,29.9,"NNE",22,5,5,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 06:58:00"
2016-10-30 01:58:00,"2016-10-30 01:58:00",79.2,76.7,29.89,"NE",40,8,8,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 07:58:00"
2016-10-30 02:08:00,"2016-10-30 02:08:00",79.2,76.3,29.89,"NE",44,7,7,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 08:08:00"
2016-10-30 02:33:00,"2016-10-30 02:33:00",79.1,76.2,29.89,"NE",40,6,6,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 08:33:00"
2016-10-30 03:03:00,"2016-10-30 03:03:00",79,76.1,29.89,"NE",38,4,5,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-10-30 09:03:00"
